profit,params,group
10436.680000000008,4852_4852,1
10428.520000000008,4853_4853,1
10424.270000000008,4854_4854,1
10418.770000000008,4855_4855,1
10410.660000000007,4856_4856,1
10408.930000000008,4857_4857,1
10408.920000000007,4858_4858,1
10407.500000000007,4859_4859,1
10411.670000000007,4860_4860,1
10416.340000000007,4861_4861,1
10416.530000000006,4862_4862,1
10415.440000000008,4863_4863,1
10400.857000000007,4864_4864,1
10396.497000000008,4865_4865,1
10394.667000000009,4866_4866,1
10396.737000000008,4867_4867,1
10409.334000000008,4868_4868,1
10416.277000000007,4869_4869,1
10424.977000000008,4870_4870,1
10427.187000000007,4871_4871,1
